Title,ISBN,Universe,Series,Position in Series,Authors
The Final Empire,978-1-4732-1681-5,Cosmere,Mistbors: Era One,1,Brandon Sanderson
The Well of Ascension,978-0-575-08993-8,Cosmere,Mistbors: Era One,2,Brandon Sanderson
The Hero of Ages,978-0-575-08994-5,Cosmere,Mistbors: Era One,3,Brandon Sanderson
The alloy of law,978-0-575-10582-9,Cosmere,Mistbors: Era Two,1,Brandon Sanderson
Shadow of self,978-1-473-20821-6,Cosmere,Mistbors: Era Two,2,Brandon Sanderson
The bands of mourning,978-1-473-20825-4,Cosmere,Mistbors: Era Two,3,Brandon Sanderson
The Lost Metal,978-0-7653-9119-3,Cosmere,Mistbors: Era Two,4,Brandon Sanderson
The Way of Kings,978-1-473-21151-3,Cosmere,The Stormlight Archive,1,Brandon Sanderson
Word of Radiance,978-0-7653-2636-2,Cosmere,The Stormlight Archive,2,Brandon Sanderson
Oathbringer,978-0-7653-2637-9,Cosmere,The Stormlight Archive,3,Brandon Sanderson
Rhythm of War,978-0-575-09338-6,Cosmere,The Stormlight Archive,4,Brandon Sanderson
Wind and Truth,978-1-399-60132-0,Cosmere,The Stormlight Archive,5,Brandon Sanderson
The Sunlit man,978-1-399-61346-0,Cosmere,,,Brandon Sanderson
Tress of the Emerald Sea,978-1-399-61337-8,Cosmere,,,Brandon Sanderson
Arcanum Unbounded,978-1-4732-2593-0,Cosmere,,,Brandon Sanderson
Dawnshard,978-1-250-85055-3,Cosmere,,,Brandon Sanderson
Elantris,978-0-7653-8310-5,Cosmere,,,Brandon Sanderson
Warbreaker,978-0-575-09746-9,Cosmere,,,Brandon Sanderson
Shadow and Bones,9781510109063,Grishaverse,Shadow and Bones,1,Leigh Bardugo
Siege and Storm,9781510105263,Grishaverse,Shadow and Bones,2,Leigh Bardugo
Rise and Ruin,9781510105256,Grishaverse,Shadow and Bones,3,Leigh Bardugo
Six of Crows,978-1-5101-0907-0,Grishaverse,Six of Crows,1,Leigh Bardugo
Crooked Kingdom,978-1-250-07697-7,Grishaverse,Six of Crows,2,Leigh Bardugo
King of Scars,9781510104464,Grishaverse,King of Scars,1,Leigh Bardugo
Rule of Wolves,9781510104495,Grishaverse,King of Scars,2,Leigh Bardugo
Ninth House,978-1-4732-2798-9,,Alex Stern,1,Leigh Bardugo
Hell Bent,9781473228016,,Alex Stren,2,Leigh Bardugo
The Familiar,978-0-241-65530-6,,,,Leigh Bardugo
The Last Wish,978-0-316-02918-6,The Witcher,,,Andrzej Sapkowski
Sword of Destiny,978-1-473-21154-4,The Witcher,,,Andrzej Sapkowski
Blood of Elves,978-0-316-43898-8,The Witcher,The Witcher Sage,1,Andrzej Sapkowski
Time of Contempt,978-0-316-21913-6,The Witcher,The Witcher Sage,2,Andrzej Sapkowski
Baptism of Fire,9781473231108,The Witcher,The Witcher Sage,3,Andrzej Sapkowski
The Tower of the Swallow,978-0-316-27371-8,The Witcher,The Witcher Sage,4,Andrzej Sapkowski
The Lady of the Lake,978-0-316-27383-1,The Witcher,The Witcher Sage,5,Andrzej Sapkowski
Season of Storm,9781473231139,The Witcher,,,Andrzej Sapkowski
The Crossroad of Ravens,9781399633451,The Witcher,,,Andrzej Sapkowski
The Eye of the World,978-0-356-50382-0,The Wheel of Time,The Wheel of Time,1,Robert Jordan
The Great Hunt,1-85723-027-2,The Wheel of Time,The Wheel of Time,2,Robert Jordan
The Dragon Reborn,978-0-356-50384-4,The Wheel of Time,The Wheel of Time,3,Robert Jordan
The Shadow Rising,978-0-356-50385-1,The Wheel of Time,The Wheel of Time,4,Robert Jordan
The Fires of Heaven,0-312-85427-7,The Wheel of Time,The Wheel of Time,5,Robert Jordan
Lord of Chaos,9781250251978,The Wheel of Time,The Wheel of Time,6,Robert Jordan
A crown of Swords,1-85723-403-0,The Wheel of Time,The Wheel of Time,7,Robert Jordan
The Path of Daggers,1-85723-554-1,The Wheel of Time,The Wheel of Time,8,Robert Jordan
Winter's Heart,978-0-356-50390-5,The Wheel of Time,The Wheel of Time,9,Robert Jordan
Crossroads of twilight,1-84149-129-2,The Wheel of Time,The Wheel of Time,10,Robert Jordan
Knife of Dreams,978-0-356-50392-9,The Wheel of Time,The Wheel of Time,11,Robert Jordan
The Gathering Storm,978-1-84149-165-3,The Wheel of Time,The Wheel of Time,12,Robert Jordan;Brandon Sanderson;
Towers of Midnight,978-1-84149-867-6,The Wheel of Time,The Wheel of Time,13,Robert Jordan;Brandon Sanderson;
A Memory of Light,978-1-84149-872-0,The Wheel of Time,The Wheel of Time,14,Robert Jordan;Brandon Sanderson;
The Blade Itself,9781399604307,The First Law,The First Law,1,Joe Abercrombie
Before they are hanged,9781473223028,The First Law,The First Law,2,Joe Abercrombie
